City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Hengyang,CN,81.59,few clouds,26.8881,112.615,Honglin Guesthouse
143,Indiana,US,89.96,clear sky,40.0003,-86.2503,WonderTree
144,Barcelos,PT,86.92,scattered clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
147,Meulaboh,ID,76.23,light rain,4.1363,96.1285,Kost Pria
148,Samarai,PG,80.22,broken clouds,-10.6167,150.6667,Nuli Sapi
149,Iquitos,PE,84.09,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
153,La Romana,DO,86.67,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
154,Bethel,US,94.35,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
155,Touros,BR,81.18,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
158,Lompoc,US,77.92,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
160,Carauari,BR,85.71,broken clouds,-4.8828,-66.8958,Hotel Fellip
163,Salalah,OM,77.81,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
165,Jamestown,US,84.06,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
172,Lengshuitan,CN,78.87,clear sky,26.4111,111.5956,Jialong Hotel
173,Bucerias,MX,93.97,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
176,Ponta Do Sol,PT,80.71,clear sky,32.6667,-17.1,Hotel do Campo
177,Marsh Harbour,BS,84.29,clear sky,26.5412,-77.0636,Abaco Beach Resort
178,Matagami,CA,75.31,broken clouds,49.7502,-77.6328,Motel Le Caribou
181,Damghan,IR,85.08,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
182,Hithadhoo,MV,81.43,overcast clouds,-0.6,73.0833,Scoop Guest House
189,Trincomalee,LK,80.78,heavy intensity rain,8.5711,81.2335,Welcombe Hotel
190,Changji,CN,86.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
191,Mana,GF,81.99,broken clouds,5.6592,-53.7767,LE SAMANA
193,San Carlos,VE,86.63,broken clouds,9.6612,-68.5827,Hotel Paternopoli
195,Mae Tha,TH,77.61,moderate rain,18.4646,99.1403,Pichamol Resort and Nursing Home
196,Manokwari,ID,78.73,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
201,Fare,PF,77.49,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
203,Awbari,LY,89.83,clear sky,26.5921,12.7805,فندق أوباري
204,Coahuayana,MX,90.88,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
205,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
211,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
218,Sabha,LY,88.66,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
222,Pachino,IT,82.33,clear sky,36.7186,15.0907,Il Veliero
223,Hambantota,LK,79.36,overcast clouds,6.1241,81.1185,Bungalow 63
225,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
228,Crixas,BR,92.25,clear sky,-14.5489,-49.9692,RISO HOTEL
230,Benghazi,LY,80.26,clear sky,32.1167,20.0667,Tibesti Hotel
234,Ramsar,IR,79.14,few clouds,36.9226,50.6426,Rasa Residential Hotel
236,Kalikapur,IN,80.01,overcast clouds,22.6167,86.2833,Rabindra nath singh
237,Katsuura,JP,78.64,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
238,Half Moon Bay,US,80.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
242,Indramayu,ID,78.82,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
247,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
249,Borujerd,IR,86.23,clear sky,33.8973,48.7516,Zagros Hotel
251,Rock Sound,BS,82.31,few clouds,24.9,-76.2,Pink Corral Bay Property
252,Masallatah,LY,78.44,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
253,Torbay,CA,79.29,broken clouds,47.6666,-52.7314,Gallows Cove
254,Labuhan,ID,75.63,broken clouds,-6.8844,112.2051,DoubleFAG
257,La Asuncion,VE,83.93,few clouds,11.0333,-63.8628,Colinas de Matasiete
259,Tulsipur,NP,76.01,overcast clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
261,Bireun,ID,77.81,light rain,5.203,96.7009,Rumah Bp.AR. ISMAIL
265,Sompeta,IN,82.13,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
268,Pauini,BR,83.25,scattered clouds,-7.7136,-66.9764,Casa do Kiwliks
273,Key West,US,88.0,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
275,Ranong,TH,77.94,moderate rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
282,Pasni,PK,83.17,overcast clouds,25.2631,63.471,Kashmiri Hotal
283,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
284,Celestun,MX,88.79,few clouds,20.8667,-90.4,Posada Lilia
287,Valley City,US,84.72,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
288,Belmonte,BR,77.11,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
290,Isangel,VU,75.79,overcast clouds,-19.55,169.2667,Tanna Lodge
291,Abonnema,NG,76.5,light rain,4.7084,6.7931,Corper's Lodge Obonoma
292,Nueva Gerona,CU,88.63,clear sky,21.8833,-82.8,Casa de la Alegria
300,Singaraja,ID,77.41,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
301,Bauru,BR,83.82,scattered clouds,-22.3147,-49.0606,Astor Hotel
305,Acarau,BR,85.91,scattered clouds,-2.8856,-40.12,castelo pizzaria
306,Manacor,ES,92.82,clear sky,39.5696,3.2096,Hotel Can Guixa
308,Kommunar,RU,80.13,scattered clouds,59.6206,30.39,Guest House Izhora
310,Bela Vista De Goias,BR,82.62,scattered clouds,-16.9728,-48.9533,Victoria Palace Hotel
