City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Iqaluit,CA,63.7506,-68.5145,51.53,76,75,8.05,broken clouds
112,Butaritari,KI,3.0707,172.7902,81.41,77,57,9.24,light rain
113,Kavaratti,IN,10.5669,72.642,81.27,79,100,19.17,overcast clouds
114,Ygatimi,PY,-24.0833,-55.5,90.32,23,54,8.68,broken clouds
115,Tondano,ID,1.3038,124.9112,69.89,95,64,2.51,broken clouds
116,Maniitsoq,GL,65.4167,-52.9,44.76,90,95,4.83,overcast clouds
117,Brae,GB,60.3964,-1.353,52.97,73,100,10.25,overcast clouds
118,Poum,NC,-20.2333,164.0167,76.96,89,17,16.93,few clouds
119,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,12.66,scattered clouds
120,Fortuna,US,40.5982,-124.1573,60.93,84,70,1.01,broken clouds
121,Santa Barbara,US,34.7333,-120.0343,89.35,9,34,5.75,scattered clouds
122,Belaya Gora,RU,68.5333,146.4167,50.0,51,41,8.01,scattered clouds
123,Tomigusuku,JP,26.185,127.675,84.15,89,20,10.36,few clouds
124,Dingle,PH,10.9995,122.6711,76.84,91,62,4.83,broken clouds
125,Palizada,MX,18.25,-92.0833,92.53,43,69,9.53,broken clouds
126,Cabedelo,BR,-6.9811,-34.8339,77.67,77,72,17.58,broken clouds
127,East London,ZA,-33.0153,27.9116,63.54,67,0,5.75,clear sky
128,Montauban,FR,44.0833,1.5,84.0,44,99,13.85,overcast clouds
129,Avarua,CK,-21.2078,-159.775,75.25,83,75,9.22,broken clouds
130,Puerto Rico,AR,-26.796,-55.024,82.74,40,70,5.35,broken clouds
131,Markt Schwaben,DE,48.1895,11.8691,87.13,33,0,3.44,clear sky
132,Binzhou,CN,37.3667,118.0167,70.14,85,100,6.08,overcast clouds
133,Provideniya,RU,64.3833,-173.3,44.71,74,56,8.59,broken clouds
134,Jumla,NP,29.2747,82.1838,63.57,97,98,1.16,overcast clouds
135,Yellowknife,CA,62.456,-114.3525,62.56,59,100,4.0,overcast clouds
136,Bengkulu,ID,-3.8004,102.2655,75.87,88,94,3.85,overcast clouds
137,Havoysund,NO,70.9963,24.6622,53.83,93,55,19.82,broken clouds
138,Cooma,AU,-36.2333,149.1333,38.97,100,100,0.0,overcast clouds
139,Ust-Maya,RU,60.4167,134.5333,64.96,76,78,1.68,broken clouds
140,Alyangula,AU,-13.8483,136.4192,63.25,65,94,7.65,overcast clouds
141,Victoria,HK,22.2855,114.1577,88.18,79,18,10.0,few clouds
142,Hengyang,CN,26.8881,112.615,81.59,79,11,3.18,few clouds
143,Indiana,US,40.0003,-86.2503,89.96,47,0,3.44,clear sky
144,Barcelos,PT,41.5388,-8.6151,86.92,41,32,11.27,scattered clouds
145,College,US,64.8569,-147.8028,53.29,86,100,5.75,overcast clouds
146,Saint George,US,37.1041,-113.5841,104.43,16,52,3.0,broken clouds
147,Meulaboh,ID,4.1363,96.1285,76.23,87,100,4.94,light rain
148,Samarai,PG,-10.6167,150.6667,80.22,80,74,6.4,broken clouds
149,Iquitos,PE,-3.7481,-73.2472,84.09,58,97,0.69,overcast clouds
150,Xianshuigu,CN,38.985,117.3828,73.4,88,75,8.95,broken clouds
151,Waipawa,NZ,-41.4122,175.5153,42.12,72,91,3.6,overcast clouds
152,North Bend,US,43.4065,-124.2243,67.24,92,84,1.01,broken clouds
153,La Romana,DO,18.4273,-68.9728,86.67,60,79,9.86,broken clouds
154,Bethel,US,41.3712,-73.414,94.35,44,1,3.0,clear sky
155,Touros,BR,-5.1989,-35.4608,81.18,71,94,16.62,overcast clouds
156,Bondo,CD,3.8146,23.6866,68.5,98,92,2.89,overcast clouds
157,Sampit,ID,-2.5333,112.95,73.36,98,89,2.01,overcast clouds
158,Lompoc,US,34.6391,-120.4579,77.92,77,75,5.99,broken clouds
159,San Rafael,AR,-34.6177,-68.3301,65.12,23,17,3.51,few clouds
160,Carauari,BR,-4.8828,-66.8958,85.71,70,71,1.41,broken clouds
161,Ketchikan,US,55.3422,-131.6461,57.87,86,99,1.68,overcast clouds
162,Pisco,PE,-13.7,-76.2167,66.02,66,1,7.72,clear sky
163,Salalah,OM,17.0151,54.0924,77.81,87,82,7.96,broken clouds
164,Ballater,GB,57.0493,-3.0402,59.34,78,100,4.12,overcast clouds
165,Jamestown,US,42.097,-79.2353,84.06,62,1,10.0,clear sky
166,Roald,NO,62.5833,6.1333,61.16,76,40,14.97,scattered clouds
167,Sheridan,US,44.8333,-106.9173,95.31,21,1,1.99,clear sky
168,Guerrero Negro,MX,27.9769,-114.0611,74.7,61,34,19.39,scattered clouds
169,Zyryanka,RU,65.75,150.85,50.61,63,4,2.01,clear sky
170,Saint-Joseph,RE,-21.3667,55.6167,66.58,79,22,13.35,few clouds
171,Okhotsk,RU,59.3833,143.3,54.09,93,97,2.64,overcast clouds
172,Lengshuitan,CN,26.4111,111.5956,78.87,82,3,5.41,clear sky
173,Bucerias,MX,20.75,-105.3333,93.97,65,65,6.24,broken clouds
174,Shonguy,RU,68.7526,33.146,62.67,72,0,4.47,clear sky
175,Kaitangata,NZ,-46.2817,169.8464,37.58,93,74,4.12,broken clouds
176,Ponta Do Sol,PT,32.6667,-17.1,80.71,70,1,5.77,clear sky
177,Marsh Harbour,BS,26.5412,-77.0636,84.29,70,4,15.84,clear sky
178,Matagami,CA,49.7502,-77.6328,75.31,57,75,12.66,broken clouds
179,Saskylakh,RU,71.9167,114.0833,47.95,72,100,6.53,overcast clouds
180,Imeni Poliny Osipenko,RU,52.4201,136.4853,54.0,96,97,6.33,overcast clouds
181,Damghan,IR,36.1683,54.348,85.08,43,0,6.46,clear sky
182,Hithadhoo,MV,-0.6,73.0833,81.43,74,98,6.96,overcast clouds
183,Avera,US,33.194,-82.5271,87.31,51,100,9.48,overcast clouds
184,Olafsvik,IS,64.8945,-23.7142,53.94,77,65,3.29,broken clouds
185,Simao,CN,22.7886,100.9748,64.62,97,71,2.44,broken clouds
186,Yumen,CN,40.2833,97.2,77.27,14,0,11.99,clear sky
187,Leningradskiy,RU,69.3833,178.4167,32.94,92,100,8.52,overcast clouds
188,Lyaskelya,RU,61.7667,31.0167,68.0,72,27,5.68,scattered clouds
189,Trincomalee,LK,8.5711,81.2335,80.78,78,100,20.02,heavy intensity rain
190,Changji,CN,44.0167,87.3167,86.79,25,0,4.47,clear sky
191,Mana,GF,5.6592,-53.7767,81.99,75,76,7.47,broken clouds
192,Tuktoyaktuk,CA,69.4541,-133.0374,58.03,67,84,5.39,broken clouds
193,San Carlos,VE,9.6612,-68.5827,86.63,61,61,4.23,broken clouds
194,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,84.0,75,63,1.9,broken clouds
195,Mae Tha,TH,18.4646,99.1403,77.61,65,96,1.66,moderate rain
196,Manokwari,ID,-0.8667,134.0833,78.73,78,32,6.15,scattered clouds
197,Longyearbyen,SJ,78.2186,15.6401,49.84,81,75,4.61,broken clouds
198,Berlevag,NO,70.8578,29.0864,55.2,82,100,16.11,overcast clouds
199,Petrivka,UA,46.9695,30.9591,75.96,32,6,8.48,clear sky
200,Ornskoldsvik,SE,63.2909,18.7153,67.15,55,20,6.91,few clouds
201,Fare,PF,-16.7,-151.0167,77.49,75,6,10.78,clear sky
202,Tuatapere,NZ,-46.1333,167.6833,37.0,94,34,3.67,scattered clouds
203,Awbari,LY,26.5921,12.7805,89.83,17,0,9.48,clear sky
204,Coahuayana,MX,18.7333,-103.6833,90.88,58,82,5.1,broken clouds
205,Kahului,US,20.8947,-156.47,78.84,80,2,8.99,clear sky
206,Karimnagar,IN,18.4333,79.15,74.59,95,100,10.11,moderate rain
207,Katete,UG,-0.7818,29.7544,72.41,41,99,3.56,overcast clouds
208,Srednekolymsk,RU,67.45,153.6833,43.36,76,53,11.32,broken clouds
209,Belle Fourche,US,44.6714,-103.8522,95.09,15,1,6.98,clear sky
210,Taoudenni,ML,22.6783,-3.9836,108.72,12,6,2.13,clear sky
211,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,10.36,scattered clouds
212,Carnarvon,AU,-24.8667,113.6333,63.46,66,0,14.03,clear sky
213,Providencia,MX,28.7167,-111.5833,103.21,40,98,4.56,overcast clouds
214,Kawalu,ID,-7.3817,108.2082,71.22,95,98,1.52,overcast clouds
215,Katobu,ID,-4.9408,122.5276,72.16,87,14,4.21,few clouds
216,Pryazha,RU,61.6926,33.6216,69.1,67,69,5.7,broken clouds
217,Arraial Do Cabo,BR,-22.9661,-42.0278,72.81,81,1,13.94,clear sky
218,Sabha,LY,27.0377,14.4283,88.66,17,0,7.96,clear sky
219,Plettenberg Bay,ZA,-34.0527,23.3716,57.11,68,82,3.56,broken clouds
220,Codrington,AU,-38.2667,141.9667,50.76,92,100,9.71,light rain
221,Thompson,CA,55.7435,-97.8558,58.08,70,100,5.79,overcast clouds
222,Pachino,IT,36.7186,15.0907,82.33,67,0,9.33,clear sky
223,Hambantota,LK,6.1241,81.1185,79.36,81,98,19.1,overcast clouds
224,Kruisfontein,ZA,-34.0033,24.7314,52.88,74,100,5.44,overcast clouds
225,Vila Do Maio,CV,15.1333,-23.2167,79.59,75,94,1.95,overcast clouds
226,Zeya,RU,53.75,127.2667,60.58,85,34,3.71,scattered clouds
227,Ancud,CL,-41.8697,-73.8203,40.23,96,100,11.92,moderate rain
228,Crixas,BR,-14.5489,-49.9692,92.25,20,0,5.35,clear sky
229,Yulara,AU,-25.2406,130.9889,57.67,37,79,8.55,broken clouds
230,Benghazi,LY,32.1167,20.0667,80.26,72,0,13.87,clear sky
231,Vallenar,CL,-28.5708,-70.7581,69.35,49,37,4.88,scattered clouds
232,Klaksvik,FO,62.2266,-6.589,52.72,86,99,10.58,overcast clouds
233,Talnakh,RU,69.4865,88.3972,62.4,59,78,5.79,broken clouds
234,Ramsar,IR,36.9226,50.6426,79.14,74,22,5.14,few clouds
